[1113/084400:ERROR:ipc_channel_win.cc(217)] pipe error: 109
[1113/094547:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094552:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094557:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094602:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094607:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094612:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094617:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094622:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094627:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094632:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094637:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094642:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094647:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094652:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094657:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094702:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094707:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094712:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094717:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094723:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094728:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094733:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094738:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094743:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094748:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094753:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094758:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094803:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094808:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094813:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094818:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094823:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094828:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094833:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094838:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094843:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094848:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094853:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094858:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094903:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094908:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094913:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094918:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094923:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094928:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094933:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094938:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094943:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094948:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094953:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/094958:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/095003:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/095008:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
[1113/095013:WARNING:dns_config_service_win.cc(674)] Failed to read DnsConfig.
